Class,Package,KILLED,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score
DefaultParametersManager.java,org.apache.commons.configuration2.builder,15,0,0,0,15,100.0
DefaultReloadingDetectorFactory.java,org.apache.commons.configuration2.builder,2,0,1,0,3,66.66666666666666
DisabledListDelimiterHandler.java,org.apache.commons.configuration2.convert,2,0,0,0,2,100.0
DynamicCombinedConfiguration.java,org.apache.commons.configuration2,66,67,22,3,158,41.77215189873418
EnvironmentLookup.java,org.apache.commons.configuration2.interpol,0,1,0,0,1,0.0
Event.java,org.apache.commons.configuration2.event,5,0,0,0,5,100.0
EventListenerList.java,org.apache.commons.configuration2.event,33,0,0,3,36,91.66666666666666
EventListenerParameters.java,org.apache.commons.configuration2.builder,6,0,0,0,6,100.0
EventListenerRegistrationData.java,org.apache.commons.configuration2.event,10,4,0,0,14,71.42857142857143
EventType.java,org.apache.commons.configuration2.event,9,0,0,0,9,100.0
ExprLookup.java,org.apache.commons.configuration2.interpol,18,9,0,0,27,66.66666666666666
FileBasedBuilderParametersImpl.java,org.apache.commons.configuration2.builder,36,0,0,0,36,100.0
FileBasedConfigurationBuilder.java,org.apache.commons.configuration2.builder,36,0,3,0,39,92.3076923076923
FileExtensionConfigurationBuilderProvider.java,org.apache.commons.configuration2.builder.combined,12,0,3,0,15,80.0
FileHandler.java,org.apache.commons.configuration2.io,133,2,3,2,140,95.0
FileHandlerReloadingDetector.java,org.apache.commons.configuration2.reloading,22,0,1,1,24,91.66666666666666
FileLocator.java,org.apache.commons.configuration2.io,23,0,1,0,24,95.83333333333334
FileLocatorUtils.java,org.apache.commons.configuration2.io,63,1,3,0,67,94.02985074626866
FileSystem.java,org.apache.commons.configuration2.io,2,0,1,0,3,66.66666666666666
FileSystemLocationStrategy.java,org.apache.commons.configuration2.io,1,0,0,0,1,100.0
FileUtils.java,org.apache.commons.configuration2.io,13,0,5,1,19,68.42105263157895
FindNodeVisitor.java,org.apache.commons.configuration2,4,0,1,0,5,80.0
HierarchicalBuilderParametersImpl.java,org.apache.commons.configuration2.builder,4,0,0,0,4,100.0
HierarchicalConfigurationConverter.java,org.apache.commons.configuration2,17,0,2,0,19,89.47368421052632
HierarchicalConfigurationXMLReader.java,org.apache.commons.configuration2,15,0,0,0,15,100.0
HomeDirectoryLocationStrategy.java,org.apache.commons.configuration2.io,12,0,0,0,12,100.0
INIBuilderParametersImpl.java,org.apache.commons.configuration2.builder,3,4,3,0,10,30.0
INIBuilderProperties.java,org.apache.commons.configuration2.builder,0,2,0,0,2,0.0
INIConfiguration.java,org.apache.commons.configuration2,129,0,29,1,159,81.13207547169812
ImmutableConfigurationInvocationHandler.java,org.apache.commons.configuration2,7,0,0,0,7,100.0
ImmutableNode.java,org.apache.commons.configuration2.tree,59,0,7,0,66,89.39393939393939
InMemoryNodeModel.java,org.apache.commons.configuration2.tree,144,0,5,6,155,92.90322580645162
InterpolatorSpecification.java,org.apache.commons.configuration2.interpol,20,0,0,0,20,100.0
JNDIConfiguration.java,org.apache.commons.configuration2,41,1,7,0,49,83.6734693877551
JSONConfiguration.java,org.apache.commons.configuration2,2,3,0,0,5,40.0
JndiBuilderParametersImpl.java,org.apache.commons.configuration2.builder,4,0,0,0,4,100.0
LegacyListDelimiterHandler.java,org.apache.commons.configuration2.convert,36,1,1,0,38,94.73684210526315
ListDelimiterHandler.java,org.apache.commons.configuration2.convert,1,0,0,0,1,100.0
ManagedReloadingDetector.java,org.apache.commons.configuration2.reloading,2,0,0,0,2,100.0
MapConfiguration.java,org.apache.commons.configuration2,20,1,0,0,21,95.23809523809523
MergeCombiner.java,org.apache.commons.configuration2.tree,14,0,1,0,15,93.33333333333333
ModelTransaction.java,org.apache.commons.configuration2.tree,89,0,3,1,93,95.6989247311828
MultiFileBuilderParametersImpl.java,org.apache.commons.configuration2.builder.combined,10,0,0,0,10,100.0
MultiFileConfigurationBuilder.java,org.apache.commons.configuration2.builder.combined,43,0,1,1,45,95.55555555555556
MultiFileConfigurationBuilderProvider.java,org.apache.commons.configuration2.builder.combined,9,0,2,0,11,81.81818181818183
MultiWrapDynaBean.java,org.apache.commons.configuration2.builder.combined,13,0,0,0,13,100.0
MultiWrapDynaClass.java,org.apache.commons.configuration2.builder.combined,3,1,0,0,4,75.0
NodeAddData.java,org.apache.commons.configuration2.tree,7,0,0,0,7,100.0
NodeCombiner.java,org.apache.commons.configuration2.tree,3,0,0,0,3,100.0
NodeHandlerDecorator.java,org.apache.commons.configuration2.tree,17,0,0,0,17,100.0
NodeNameMatchers.java,org.apache.commons.configuration2.tree,4,0,0,0,4,100.0
NodeSelector.java,org.apache.commons.configuration2.tree,13,0,2,0,15,86.66666666666667
NodeTracker.java,org.apache.commons.configuration2.tree,43,1,1,0,45,95.55555555555556
NodeTreeWalker.java,org.apache.commons.configuration2.tree,16,0,0,0,16,100.0
NodeUpdateData.java,org.apache.commons.configuration2.tree,8,1,0,0,9,88.88888888888889
OverrideCombiner.java,org.apache.commons.configuration2.tree,11,0,0,0,11,100.0
Parameters.java,org.apache.commons.configuration2.builder.fluent,23,0,0,0,23,100.0
ParseException.java,org.apache.commons.configuration2.plist,5,10,11,0,26,19.230769230769234
PatternSubtreeConfigurationWrapper.java,org.apache.commons.configuration2,6,71,3,0,80,7.5
PeriodicReloadingTrigger.java,org.apache.commons.configuration2.reloading,13,0,0,0,13,100.0
PrefixedKeysIterator.java,org.apache.commons.configuration2,13,0,0,0,13,100.0
PropertiesBuilderParametersImpl.java,org.apache.commons.configuration2.builder,10,0,0,0,10,100.0
PropertiesBuilderProperties.java,org.apache.commons.configuration2.builder,0,1,0,0,1,0.0
