Class,Package,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score
CollectionUtils.java,org.apache.commons.collections4,235,0,8,24,0,267,88.01498127340824
ComparableComparator.java,org.apache.commons.collections4.comparators,5,0,0,2,0,7,71.42857142857143
ComparatorChain.java,org.apache.commons.collections4.comparators,24,0,16,8,0,48,50.0
ComparatorPredicate.java,org.apache.commons.collections4.functors,15,0,0,0,0,15,100.0
ComparatorUtils.java,org.apache.commons.collections4,17,0,1,3,0,21,80.95238095238095
CompositeCollection.java,org.apache.commons.collections4.collection,37,0,5,18,0,60,61.66666666666667
CompositeMap.java,org.apache.commons.collections4.map,94,0,0,5,0,99,94.94949494949495
CompositeSet.java,org.apache.commons.collections4.set,67,0,3,4,0,74,90.54054054054053
ConstantFactory.java,org.apache.commons.collections4.functors,4,0,1,0,0,5,80.0
ConstantTransformer.java,org.apache.commons.collections4.functors,6,0,11,1,0,18,33.33333333333333
CursorableLinkedList.java,org.apache.commons.collections4.list,0,0,78,0,0,78,0.0
DefaultEquator.java,org.apache.commons.collections4.functors,5,0,1,2,0,8,62.5
DefaultKeyValue.java,org.apache.commons.collections4.keyvalue,15,0,1,4,0,20,75.0
DefaultedMap.java,org.apache.commons.collections4.map,12,0,0,0,0,12,100.0
DeleteCommand.java,org.apache.commons.collections4.sequence,1,0,0,0,0,1,100.0
DualHashBidiMap.java,org.apache.commons.collections4.bidimap,0,0,6,0,0,6,0.0
DualLinkedHashBidiMap.java,org.apache.commons.collections4.bidimap,0,0,6,0,0,6,0.0
DualTreeBidiMap.java,org.apache.commons.collections4.bidimap,0,0,55,0,0,55,0.0
EditCommand.java,org.apache.commons.collections4.sequence,1,0,0,0,0,1,100.0
EditScript.java,org.apache.commons.collections4.sequence,4,0,1,1,0,6,66.66666666666666
EmptyIterator.java,org.apache.commons.collections4.iterators,2,0,0,0,0,2,100.0
EmptyListIterator.java,org.apache.commons.collections4.iterators,1,0,1,0,0,2,50.0
EmptyMapIterator.java,org.apache.commons.collections4.iterators,1,0,0,0,0,1,100.0
EmptyOrderedIterator.java,org.apache.commons.collections4.iterators,1,0,0,0,0,1,100.0
EmptyOrderedMapIterator.java,org.apache.commons.collections4.iterators,1,0,0,0,0,1,100.0
EntrySetMapIterator.java,org.apache.commons.collections4.iterators,0,0,14,0,0,14,0.0
EntrySetToMapIteratorAdapter.java,org.apache.commons.collections4.map,7,0,2,1,0,10,70.0
EnumerationIterator.java,org.apache.commons.collections4.iterators,3,0,3,0,0,6,50.0
EnumerationUtils.java,org.apache.commons.collections4,7,0,0,1,0,8,87.5
EqualPredicate.java,org.apache.commons.collections4.functors,11,0,1,0,0,12,91.66666666666666
ExceptionClosure.java,org.apache.commons.collections4.functors,2,0,0,0,0,2,100.0
ExceptionFactory.java,org.apache.commons.collections4.functors,2,0,0,0,0,2,100.0
ExceptionPredicate.java,org.apache.commons.collections4.functors,2,0,0,0,0,2,100.0
ExceptionTransformer.java,org.apache.commons.collections4.functors,2,0,0,0,0,2,100.0
FactoryTransformer.java,org.apache.commons.collections4.functors,3,0,1,0,0,4,75.0
FactoryUtils.java,org.apache.commons.collections4,6,0,0,0,0,6,100.0
FalsePredicate.java,org.apache.commons.collections4.functors,3,0,0,0,0,3,100.0
FilterIterator.java,org.apache.commons.collections4.iterators,12,0,2,0,0,14,85.71428571428571
FilterListIterator.java,org.apache.commons.collections4.iterators,38,0,4,1,0,43,88.37209302325581
FixedOrderComparator.java,org.apache.commons.collections4.comparators,33,0,3,17,0,53,62.264150943396224
FixedSizeList.java,org.apache.commons.collections4.list,9,0,3,0,0,12,75.0
FixedSizeMap.java,org.apache.commons.collections4.map,7,0,4,2,0,13,53.84615384615385
FixedSizeSortedMap.java,org.apache.commons.collections4.map,0,0,15,2,0,17,0.0
Flat3Map.java,org.apache.commons.collections4.map,0,0,308,0,0,308,0.0
FluentIterable.java,org.apache.commons.collections4,39,0,0,0,0,39,100.0
ForClosure.java,org.apache.commons.collections4.functors,10,0,2,0,1,13,76.92307692307693
FunctorUtils.java,org.apache.commons.collections4.functors,23,0,2,0,0,25,92.0
GrowthList.java,org.apache.commons.collections4.list,8,0,1,7,0,16,50.0
HashBag.java,org.apache.commons.collections4.bag,2,0,0,2,0,4,50.0
HashMultiSet.java,org.apache.commons.collections4.multiset,0,0,5,0,0,5,0.0
HashSetValuedHashMap.java,org.apache.commons.collections4.multimap,0,0,6,0,0,6,0.0
HashedMap.java,org.apache.commons.collections4.map,2,0,1,2,0,5,40.0
IdentityPredicate.java,org.apache.commons.collections4.functors,5,0,1,0,0,6,83.33333333333334
IfClosure.java,org.apache.commons.collections4.functors,8,0,3,0,0,11,72.72727272727273
IfTransformer.java,org.apache.commons.collections4.functors,10,0,3,0,0,13,76.92307692307693
IndexedCollection.java,org.apache.commons.collections4.collection,37,0,2,5,0,44,84.0909090909091
InsertCommand.java,org.apache.commons.collections4.sequence,1,0,0,0,0,1,100.0
InstanceofPredicate.java,org.apache.commons.collections4.functors,4,0,1,0,0,5,80.0
InstantiateFactory.java,org.apache.commons.collections4.functors,14,0,1,2,0,17,82.35294117647058
InstantiateTransformer.java,org.apache.commons.collections4.functors,14,0,1,1,0,16,87.5
InvokerTransformer.java,org.apache.commons.collections4.functors,18,0,0,0,0,18,100.0
IterableUtils.java,org.apache.commons.collections4,111,1,3,18,0,133,83.45864661654136
IteratorChain.java,org.apache.commons.collections4.iterators,16,0,5,6,0,27,59.25925925925925
IteratorEnumeration.java,org.apache.commons.collections4.iterators,4,0,0,0,0,4,100.0
IteratorIterable.java,org.apache.commons.collections4.iterators,9,0,1,0,0,10,90.0
IteratorUtils.java,org.apache.commons.collections4,127,0,35,1,0,163,77.91411042944786
KeepCommand.java,org.apache.commons.collections4.sequence,1,0,0,0,0,1,100.0
KeyAnalyzer.java,org.apache.commons.collections4.trie,0,0,7,8,0,15,0.0
LRUMap.java,org.apache.commons.collections4.map,0,0,49,0,0,49,0.0
LazyIteratorChain.java,org.apache.commons.collections4.iterators,14,0,0,0,1,15,93.33333333333333
LazyList.java,org.apache.commons.collections4.list,13,0,5,1,0,19,68.42105263157895
LazyMap.java,org.apache.commons.collections4.map,10,0,0,0,0,10,100.0
LazySortedMap.java,org.apache.commons.collections4.map,8,0,0,1,0,9,88.88888888888889
LinkedMap.java,org.apache.commons.collections4.map,2,0,24,2,0,28,7.142857142857142
ListIteratorWrapper.java,org.apache.commons.collections4.iterators,47,0,4,1,0,52,90.38461538461539
ListOrderedMap.java,org.apache.commons.collections4.map,54,0,55,12,0,121,44.62809917355372
ListOrderedSet.java,org.apache.commons.collections4.set,49,0,4,5,0,58,84.48275862068965
ListUtils.java,org.apache.commons.collections4,66,0,10,5,0,81,81.48148148148148
LoopingIterator.java,org.apache.commons.collections4.iterators,11,0,0,0,0,11,100.0
LoopingListIterator.java,org.apache.commons.collections4.iterators,27,0,1,0,0,28,96.42857142857143
MapBackedSet.java,org.apache.commons.collections4.set,29,0,0,0,0,29,100.0
MapTransformer.java,org.apache.commons.collections4.functors,4,0,1,0,0,5,80.0
MapUtils.java,org.apache.commons.collections4,193,0,20,10,1,224,86.16071428571429
MultiKey.java,org.apache.commons.collections4.keyvalue,17,0,1,0,0,18,94.44444444444444
MultiKeyMap.java,org.apache.commons.collections4.map,0,0,267,0,0,267,0.0
MultiMapUtils.java,org.apache.commons.collections4,17,0,8,2,0,27,62.96296296296296
MultiSetUtils.java,org.apache.commons.collections4,4,0,0,0,0,4,100.0
MultiValueMap.java,org.apache.commons.collections4.map,60,0,2,4,0,66,90.9090909090909
NOPClosure.java,org.apache.commons.collections4.functors,2,0,0,0,0,2,100.0
NOPTransformer.java,org.apache.commons.collections4.functors,3,0,0,0,0,3,100.0
NodeCachingLinkedList.java,org.apache.commons.collections4.list,0,0,30,0,0,30,0.0
NodeListIterator.java,org.apache.commons.collections4.iterators,11,0,0,0,0,11,100.0
NonePredicate.java,org.apache.commons.collections4.functors,10,0,0,0,0,10,100.0
NotNullPredicate.java,org.apache.commons.collections4.functors,4,0,0,0,0,4,100.0
NotPredicate.java,org.apache.commons.collections4.functors,4,0,1,0,0,5,80.0
NullComparator.java,org.apache.commons.collections4.comparators,9,0,12,0,0,21,42.857142857142854
