Class,Package,KILLED,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score
MutableObject.java,org.apache.commons.lang3.mutable,12,0,0,0,12,100.0
MutablePair.java,org.apache.commons.lang3.tuple,4,0,1,0,5,80.0
MutableShort.java,org.apache.commons.lang3.mutable,36,0,0,0,36,100.0
MutableTriple.java,org.apache.commons.lang3.tuple,4,0,0,0,4,100.0
NotImplementedException.java,org.apache.commons.lang3,1,0,0,0,1,100.0
NumberUtils.java,org.apache.commons.lang3.math,409,9,55,0,473,86.4693446088795
NumericEntityEscaper.java,org.apache.commons.lang3.text.translate,19,0,0,0,19,100.0
NumericEntityUnescaper.java,org.apache.commons.lang3.text.translate,50,0,2,1,53,94.33962264150944
ObjectUtils.java,org.apache.commons.lang3,93,0,17,0,110,84.54545454545455
OctalUnescaper.java,org.apache.commons.lang3.text.translate,28,0,2,1,31,90.32258064516128
Pair.java,org.apache.commons.lang3.tuple,17,0,0,0,17,100.0
Processor.java,org.apache.commons.lang3.arch,7,0,0,0,7,100.0
RandomStringUtils.java,org.apache.commons.lang3,44,0,3,16,63,69.84126984126983
RandomUtils.java,org.apache.commons.lang3,47,0,7,0,54,87.03703703703704
Range.java,org.apache.commons.lang3,80,0,9,0,89,89.8876404494382
RecursiveToStringStyle.java,org.apache.commons.lang3.builder,8,0,0,0,8,100.0
ReflectionDiffBuilder.java,org.apache.commons.lang3.builder,9,1,1,0,11,81.81818181818183
ReflectionToStringBuilder.java,org.apache.commons.lang3.builder,54,4,6,0,64,84.375
RegExUtils.java,org.apache.commons.lang3,30,0,0,0,30,100.0
SerializationUtils.java,org.apache.commons.lang3,18,0,4,0,22,81.81818181818183
StandardToStringStyle.java,org.apache.commons.lang3.builder,1,29,10,0,40,2.5
StopWatch.java,org.apache.commons.lang3.time,43,0,6,0,49,87.75510204081633
StrBuilder.java,org.apache.commons.lang3.text,672,14,213,9,908,74.00881057268722
StrLookup.java,org.apache.commons.lang3.text,11,0,0,0,11,100.0
StrMatcher.java,org.apache.commons.lang3.text,45,1,1,0,47,95.74468085106383
StrSubstitutor.java,org.apache.commons.lang3.text,133,7,15,4,159,83.64779874213836
StrTokenizer.java,org.apache.commons.lang3.text,122,0,8,23,153,79.73856209150327
StringEscapeUtils.java,org.apache.commons.lang3,34,0,0,0,34,100.0
StringUtils.java,org.apache.commons.lang3,1627,3,142,13,1785,91.1484593837535
SystemUtils.java,org.apache.commons.lang3,30,1,0,0,31,96.7741935483871
ThreadUtils.java,org.apache.commons.lang3,60,0,8,6,74,81.08108108108108
ThresholdCircuitBreaker.java,org.apache.commons.lang3.concurrent,9,0,1,0,10,90.0
TimedSemaphore.java,org.apache.commons.lang3.concurrent,29,0,1,10,40,72.5
ToStringBuilder.java,org.apache.commons.lang3.builder,117,0,0,0,117,100.0
ToStringStyle.java,org.apache.commons.lang3.builder,296,48,45,0,389,76.09254498714652
Triple.java,org.apache.commons.lang3.tuple,13,0,5,0,18,72.22222222222221
TypeLiteral.java,org.apache.commons.lang3.reflect,4,5,0,0,9,44.44444444444444
TypeUtils.java,org.apache.commons.lang3.reflect,276,106,21,0,403,68.4863523573201
UnicodeEscaper.java,org.apache.commons.lang3.text.translate,29,1,2,0,32,90.625
UnicodeUnescaper.java,org.apache.commons.lang3.text.translate,24,0,4,1,29,82.75862068965517
UnicodeUnpairedSurrogateRemover.java,org.apache.commons.lang3.text.translate,6,0,0,0,6,100.0
Validate.java,org.apache.commons.lang3,101,2,15,0,118,85.59322033898306
WordUtils.java,org.apache.commons.lang3.text,92,0,8,2,102,90.19607843137256
