Class,Package,KILLED,NO_COVERAGE,RUN_ERROR,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score
HermiteInterpolator.java,org.apache.commons.math4.analysis.interpolation,60,0,0,4,0,64,93.75
HermiteRuleFactory.java,org.apache.commons.math4.analysis.integration.gauss,69,0,0,1,1,71,97.1830985915493
HessenbergTransformer.java,org.apache.commons.math4.linear,104,1,0,4,0,109,95.41284403669725
HighamHall54FieldIntegrator.java,org.apache.commons.math4.ode.nonstiff,15,0,0,0,2,17,88.23529411764706
HighamHall54FieldStepInterpolator.java,org.apache.commons.math4.ode.nonstiff,4,0,0,1,0,5,80.0
HighamHall54Integrator.java,org.apache.commons.math4.ode.nonstiff,11,0,0,1,9,21,52.38095238095239
HighamHall54StepInterpolator.java,org.apache.commons.math4.ode.nonstiff,146,0,0,1,0,147,99.31972789115646
HitHistogram.java,org.apache.commons.math4.ml.neuralnet.twod.util,0,12,0,0,0,12,0.0
Identity.java,org.apache.commons.math4.analysis.function,2,0,0,0,0,2,100.0
InferenceTestUtils.java,org.apache.commons.math4.stat.inference,39,11,0,0,0,50,78.0
InitialGuess.java,org.apache.commons.math4.optim,1,0,0,0,0,1,100.0
IntegerSequence.java,org.apache.commons.math4.util,34,1,0,3,4,42,80.95238095238095
InterpolatingMicrosphere.java,org.apache.commons.math4.analysis.interpolation,46,3,0,13,0,62,74.19354838709677
InterpolatingMicrosphere2D.java,org.apache.commons.math4.analysis.interpolation,6,1,0,0,0,7,85.71428571428571
IntervalUtils.java,org.apache.commons.math4.stat.interval,12,0,0,2,0,14,85.71428571428571
Inverse.java,org.apache.commons.math4.analysis.function,3,0,0,0,0,3,100.0
IterationEvent.java,org.apache.commons.math4.util,1,0,0,0,0,1,100.0
IterationManager.java,org.apache.commons.math4.util,10,1,0,2,1,14,71.42857142857143
IterativeLegendreGaussIntegrator.java,org.apache.commons.math4.analysis.integration,26,0,0,2,0,28,92.85714285714286
IterativeLinearSolver.java,org.apache.commons.math4.linear,4,6,0,3,0,13,30.76923076923077
IterativeLinearSolverEvent.java,org.apache.commons.math4.linear,0,1,0,0,0,1,0.0
JacobiPreconditioner.java,org.apache.commons.math4.linear,1,17,0,0,0,18,5.555555555555555
JacobianFunction.java,org.apache.commons.math4.analysis.differentiation,10,0,0,0,0,10,100.0
JacobianMatrices.java,org.apache.commons.math4.ode,92,4,0,14,0,110,83.63636363636363
KMeansPlusPlusCentroidInitializer.java,org.apache.commons.math4.ml.clustering.initialization,30,5,0,4,0,39,76.92307692307693
KMeansPlusPlusClusterer.java,org.apache.commons.math4.ml.clustering,18,22,0,7,6,53,33.9622641509434
KalmanFilter.java,org.apache.commons.math4.filter,20,3,0,11,0,34,58.82352941176471
KendallsCorrelation.java,org.apache.commons.math4.stat.correlation,82,0,0,3,1,86,95.34883720930233
KohonenTrainingTask.java,org.apache.commons.math4.ml.neuralnet.sofm,2,0,0,0,0,2,100.0
KohonenUpdateAction.java,org.apache.commons.math4.ml.neuralnet.sofm,0,14,0,0,0,14,0.0
KolmogorovSmirnovTest.java,org.apache.commons.math4.stat.inference,367,79,0,60,10,516,71.12403100775194
KthSelector.java,org.apache.commons.math4.util,35,0,0,10,6,51,68.62745098039215
Kurtosis.java,org.apache.commons.math4.stat.descriptive.moment,57,1,0,5,0,63,90.47619047619048
LUDecomposition.java,org.apache.commons.math4.linear,137,0,0,3,0,140,97.85714285714285
LaguerreRuleFactory.java,org.apache.commons.math4.analysis.integration.gauss,30,0,0,0,0,30,100.0
LaguerreSolver.java,org.apache.commons.math4.analysis.solvers,43,11,0,19,5,78,55.12820512820513
LearningFactorFunctionFactory.java,org.apache.commons.math4.ml.neuralnet.sofm,12,0,0,0,0,12,100.0
LeastSquaresAdapter.java,org.apache.commons.math4.fitting.leastsquares,7,0,0,0,0,7,100.0
LeastSquaresBuilder.java,org.apache.commons.math4.fitting.leastsquares,13,1,0,0,0,14,92.85714285714286
LeastSquaresConverter.java,org.apache.commons.math4.optim.nonlinear.scalar,26,0,0,0,0,26,100.0
LeastSquaresFactory.java,org.apache.commons.math4.fitting.leastsquares,30,8,0,2,1,41,73.17073170731707
LegendreHighPrecisionRuleFactory.java,org.apache.commons.math4.analysis.integration.gauss,34,0,0,0,4,38,89.47368421052632
LegendreRuleFactory.java,org.apache.commons.math4.analysis.integration.gauss,0,0,0,73,0,73,0.0
LevenbergMarquardtOptimizer.java,org.apache.commons.math4.fitting.leastsquares,354,7,0,44,0,405,87.4074074074074
LineSearch.java,org.apache.commons.math4.optim.nonlinear.scalar,8,0,0,0,0,8,100.0
LinearConstraint.java,org.apache.commons.math4.optim.linear,13,8,0,3,0,24,54.166666666666664
LinearConstraintSet.java,org.apache.commons.math4.optim.linear,1,3,0,0,0,4,25.0
LinearInterpolator.java,org.apache.commons.math4.analysis.interpolation,16,0,0,1,0,17,94.11764705882352
LinearObjectiveFunction.java,org.apache.commons.math4.optim.linear,13,4,0,1,0,18,72.22222222222221
LinearOptimizer.java,org.apache.commons.math4.optim.linear,11,0,0,0,0,11,100.0
ListPopulation.java,org.apache.commons.math4.genetics,19,0,0,5,0,24,79.16666666666666
LocalizedFormats.java,org.apache.commons.math4.exception.util,0,6,0,0,0,6,0.0
LocationFinder.java,org.apache.commons.math4.ml.neuralnet.twod.util,10,0,0,0,0,10,100.0
LoessInterpolator.java,org.apache.commons.math4.analysis.interpolation,103,2,0,13,1,119,86.5546218487395
Log.java,org.apache.commons.math4.analysis.function,2,0,0,0,0,2,100.0
Log10.java,org.apache.commons.math4.analysis.function,2,0,0,0,0,2,100.0
Log1p.java,org.apache.commons.math4.analysis.function,2,0,0,0,0,2,100.0
Logistic.java,org.apache.commons.math4.analysis.function,36,0,0,5,0,41,87.8048780487805
Logit.java,org.apache.commons.math4.analysis.function,43,0,0,5,0,48,89.58333333333334
LutherFieldIntegrator.java,org.apache.commons.math4.ode.nonstiff,8,0,0,0,0,8,100.0
LutherFieldStepInterpolator.java,org.apache.commons.math4.ode.nonstiff,3,0,0,2,0,5,60.0
LutherStepInterpolator.java,org.apache.commons.math4.ode.nonstiff,256,0,0,10,0,266,96.2406015037594
