Class,Package,KILLED,NO_COVERAGE,RUN_ERROR,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score
RandomCentroidInitializer.java,org.apache.commons.math4.ml.clustering.initialization,6,1,0,1,0,8,75.0
RandomKey.java,org.apache.commons.math4.genetics,40,2,0,1,3,46,86.95652173913044
RandomKeyMutation.java,org.apache.commons.math4.genetics,2,0,0,0,0,2,100.0
RandomPivotingStrategy.java,org.apache.commons.math4.util,0,9,0,0,0,9,0.0
RandomUtils.java,org.apache.commons.math4.random,43,18,1,14,6,82,52.4390243902439
RealLinearOperator.java,org.apache.commons.math4.linear,0,1,0,0,0,1,0.0
RealMatrixFormat.java,org.apache.commons.math4.linear,47,11,0,5,0,63,74.60317460317461
RealVector.java,org.apache.commons.math4.linear,61,166,0,5,1,233,26.180257510729614
RealVectorFormat.java,org.apache.commons.math4.linear,28,4,0,4,1,37,75.67567567567568
RectangularCholeskyDecomposition.java,org.apache.commons.math4.linear,46,0,0,2,0,48,95.83333333333334
RegressionResults.java,org.apache.commons.math4.stat.regression,66,25,0,15,0,106,62.264150943396224
Relationship.java,org.apache.commons.math4.optim.linear,2,1,0,1,0,4,50.0
ResizableDoubleArray.java,org.apache.commons.math4.util,102,1,0,27,0,130,78.46153846153847
RiddersSolver.java,org.apache.commons.math4.analysis.solvers,21,4,0,8,0,33,63.63636363636363
Rint.java,org.apache.commons.math4.analysis.function,1,0,0,0,0,1,100.0
RngAdaptor.java,org.apache.commons.math4.random,0,7,0,13,0,20,0.0
RombergIntegrator.java,org.apache.commons.math4.analysis.integration,21,2,0,6,0,29,72.41379310344827
RotationOrder.java,org.apache.commons.math4.geometry.euclidean.threed,4,0,0,0,0,4,100.0
RungeKuttaFieldIntegrator.java,org.apache.commons.math4.ode.nonstiff,53,1,0,8,6,68,77.94117647058823
RungeKuttaFieldStepInterpolator.java,org.apache.commons.math4.ode.nonstiff,14,0,0,0,0,14,100.0
RungeKuttaIntegrator.java,org.apache.commons.math4.ode.nonstiff,96,1,0,11,2,110,87.27272727272727
RungeKuttaStepInterpolator.java,org.apache.commons.math4.ode.nonstiff,34,0,0,5,0,39,87.17948717948718
SchurTransformer.java,org.apache.commons.math4.linear,248,0,0,38,2,288,86.11111111111111
SearchInterval.java,org.apache.commons.math4.optim.univariate,9,0,0,2,0,11,81.81818181818183
SecantSolver.java,org.apache.commons.math4.analysis.solvers,16,1,0,3,0,20,80.0
SecondMoment.java,org.apache.commons.math4.stat.descriptive.moment,12,0,0,2,0,14,85.71428571428571
SemiVariance.java,org.apache.commons.math4.stat.descriptive.moment,21,9,0,1,0,31,67.74193548387096
Sigmoid.java,org.apache.commons.math4.analysis.function,46,0,0,1,0,47,97.87234042553192
Signum.java,org.apache.commons.math4.analysis.function,1,0,0,0,0,1,100.0
SimpleBounds.java,org.apache.commons.math4.optim,5,0,0,0,0,5,100.0
SimpleCurveFitter.java,org.apache.commons.math4.fitting,4,2,0,0,0,6,66.66666666666666
SimplePointChecker.java,org.apache.commons.math4.optim,15,0,0,2,0,17,88.23529411764706
SimpleRegression.java,org.apache.commons.math4.stat.regression,219,49,0,23,0,291,75.25773195876289
SimpleUnivariateValueChecker.java,org.apache.commons.math4.optim.univariate,11,0,0,2,0,13,84.61538461538461
SimpleValueChecker.java,org.apache.commons.math4.optim,11,0,0,2,0,13,84.61538461538461
SimpleVectorValueChecker.java,org.apache.commons.math4.optim,15,0,0,2,0,17,88.23529411764706
SimplexOptimizer.java,org.apache.commons.math4.optim.nonlinear.scalar.noderiv,27,0,0,1,0,28,96.42857142857143
SimplexSolver.java,org.apache.commons.math4.optim.linear,51,1,0,15,8,75,68.0
SimplexTableau.java,org.apache.commons.math4.optim.linear,188,13,0,10,5,216,87.03703703703704
SimpsonIntegrator.java,org.apache.commons.math4.analysis.integration,20,0,0,3,0,23,86.95652173913044
Sin.java,org.apache.commons.math4.analysis.function,2,0,0,0,0,2,100.0
Sinc.java,org.apache.commons.math4.analysis.function,77,0,0,21,0,98,78.57142857142857
SingularValueDecomposition.java,org.apache.commons.math4.linear,359,25,0,52,12,448,80.13392857142857
Sinh.java,org.apache.commons.math4.analysis.function,2,0,0,0,0,2,100.0
Skewness.java,org.apache.commons.math4.stat.descriptive.moment,48,1,0,9,0,58,82.75862068965517
SmoothedDataHistogram.java,org.apache.commons.math4.ml.neuralnet.twod.util,0,17,0,0,0,17,0.0
SobolSequenceGenerator.java,org.apache.commons.math4.random,74,1,0,16,0,91,81.31868131868131
SolutionCallback.java,org.apache.commons.math4.optim.linear,4,0,0,0,0,4,100.0
SparseFieldMatrix.java,org.apache.commons.math4.linear,8,13,0,5,0,26,30.76923076923077
SparseFieldVector.java,org.apache.commons.math4.linear,120,65,0,42,0,227,52.863436123348016
SparseGradient.java,org.apache.commons.math4.analysis.differentiation,240,5,0,23,0,268,89.55223880597015
SpearmansCorrelation.java,org.apache.commons.math4.stat.correlation,14,1,0,2,0,17,82.35294117647058
SplineInterpolator.java,org.apache.commons.math4.analysis.interpolation,67,0,0,1,0,68,98.52941176470588
Sqrt.java,org.apache.commons.math4.analysis.function,2,0,0,0,0,2,100.0
StableRandomGenerator.java,org.apache.commons.math4.random,21,23,0,19,0,63,33.33333333333333
StandardDeviation.java,org.apache.commons.math4.stat.descriptive.moment,9,4,0,2,0,15,60.0
StatUtils.java,org.apache.commons.math4.stat,68,8,0,7,0,83,81.92771084337349
StatisticalSummaryValues.java,org.apache.commons.math4.stat.descriptive,19,0,0,12,0,31,61.29032258064516
StepFunction.java,org.apache.commons.math4.analysis.function,12,0,0,1,0,13,92.3076923076923
StepNormalizer.java,org.apache.commons.math4.ode.sampling,23,1,0,7,8,39,58.97435897435898
StepNormalizerBounds.java,org.apache.commons.math4.ode.sampling,2,0,0,0,0,2,100.0
StorelessBivariateCovariance.java,org.apache.commons.math4.stat.correlation,32,3,0,1,0,36,88.88888888888889
StorelessCovariance.java,org.apache.commons.math4.stat.correlation,36,9,0,3,0,48,75.0
Subtract.java,org.apache.commons.math4.analysis.function,2,0,0,0,0,2,100.0
Sum.java,org.apache.commons.math4.stat.descriptive.summary,21,2,0,2,0,25,84.0
SumOfClusterVariances.java,org.apache.commons.math4.ml.clustering.evaluation,8,0,0,2,0,10,80.0
SumOfLogs.java,org.apache.commons.math4.stat.descriptive.summary,13,1,0,2,0,16,81.25
SumOfSquares.java,org.apache.commons.math4.stat.descriptive.summary,15,1,0,2,0,18,83.33333333333334
SummaryStatistics.java,org.apache.commons.math4.stat.descriptive,65,18,0,38,0,121,53.71900826446281
SymmLQ.java,org.apache.commons.math4.linear,158,10,0,46,0,214,73.83177570093457
SymmetricGaussIntegrator.java,org.apache.commons.math4.analysis.integration.gauss,18,0,0,2,0,20,90.0
SynchronizedDescriptiveStatistics.java,org.apache.commons.math4.stat.descriptive,13,2,0,2,0,17,76.47058823529412
SynchronizedMultivariateSummaryStatistics.java,org.apache.commons.math4.stat.descriptive,30,0,0,0,0,30,100.0
SynchronizedRandomGenerator.java,org.apache.commons.math4.random,8,3,0,0,0,11,72.72727272727273
SynchronizedSummaryStatistics.java,org.apache.commons.math4.stat.descriptive,22,16,0,1,0,39,56.41025641025641
TTest.java,org.apache.commons.math4.stat.inference,101,3,0,23,0,127,79.52755905511812
Tan.java,org.apache.commons.math4.analysis.function,2,0,0,0,0,2,100.0
Tanh.java,org.apache.commons.math4.analysis.function,2,0,0,0,0,2,100.0
ThirdMoment.java,org.apache.commons.math4.stat.descriptive.moment,19,0,0,2,0,21,90.47619047619048
ThreeEighthesFieldIntegrator.java,org.apache.commons.math4.ode.nonstiff,8,0,0,0,0,8,100.0
ThreeEighthesFieldStepInterpolator.java,org.apache.commons.math4.ode.nonstiff,5,0,0,0,0,5,100.0
ThreeEighthesStepInterpolator.java,org.apache.commons.math4.ode.nonstiff,87,0,0,0,0,87,100.0
TooManyEvaluationsException.java,org.apache.commons.math4.exception,0,0,0,1,0,1,0.0
TooManyIterationsException.java,org.apache.commons.math4.exception,0,0,0,1,0,1,0.0
TopographicErrorHistogram.java,org.apache.commons.math4.ml.neuralnet.twod.util,0,13,0,0,0,13,0.0
TournamentSelection.java,org.apache.commons.math4.genetics,7,2,0,1,0,10,70.0
TransformUtils.java,org.apache.commons.math4.transform,15,9,0,0,0,24,62.5
Transformer.java,org.apache.commons.math4.ode.events,8,0,0,1,0,9,88.88888888888889
TransformerMap.java,org.apache.commons.math4.util,16,9,0,3,0,28,57.14285714285714
TrapezoidIntegrator.java,org.apache.commons.math4.analysis.integration,31,2,0,5,0,38,81.57894736842105
TriDiagonalTransformer.java,org.apache.commons.math4.linear,120,1,0,3,0,124,96.7741935483871
TricubicInterpolatingFunction.java,org.apache.commons.math4.analysis.interpolation,187,22,1,1,0,211,88.62559241706161
TricubicInterpolator.java,org.apache.commons.math4.analysis.interpolation,73,0,0,6,0,79,92.40506329113924
Ulp.java,org.apache.commons.math4.analysis.function,1,0,0,0,0,1,100.0
UncorrelatedRandomVectorGenerator.java,org.apache.commons.math4.random,8,0,0,0,0,8,100.0
UnifiedDistanceMatrix.java,org.apache.commons.math4.ml.neuralnet.twod.util,0,55,0,0,0,55,0.0
UniformCrossover.java,org.apache.commons.math4.genetics,13,1,0,1,0,15,86.66666666666667
UniformRandomGenerator.java,org.apache.commons.math4.random,4,0,0,0,0,4,100.0
UnivariateObjectiveFunction.java,org.apache.commons.math4.optim.univariate,1,0,0,0,0,1,100.0
UnivariateOptimizer.java,org.apache.commons.math4.optim.univariate,14,0,0,0,0,14,100.0
UnivariatePeriodicInterpolator.java,org.apache.commons.math4.analysis.interpolation,18,0,0,3,0,21,85.71428571428571
UnivariatePointValuePair.java,org.apache.commons.math4.optim.univariate,2,0,0,0,0,2,100.0
UnivariateSolverUtils.java,org.apache.commons.math4.analysis.solvers,51,16,0,26,0,93,54.83870967741935
UnknownParameterException.java,org.apache.commons.math4.ode,1,0,0,0,0,1,100.0
Variance.java,org.apache.commons.math4.stat.descriptive.moment,67,7,0,15,0,89,75.28089887640449
VectorialCovariance.java,org.apache.commons.math4.stat.descriptive.moment,39,18,0,6,0,63,61.904761904761905
VectorialMean.java,org.apache.commons.math4.stat.descriptive.moment,17,6,0,1,0,24,70.83333333333334
WeightedObservedPoint.java,org.apache.commons.math4.fitting,3,0,0,0,0,3,100.0
WeightedObservedPoints.java,org.apache.commons.math4.fitting,3,0,0,0,0,3,100.0
WilcoxonSignedRankTest.java,org.apache.commons.math4.stat.inference,60,0,0,7,2,69,86.95652173913044
WilsonScoreInterval.java,org.apache.commons.math4.stat.interval,24,0,0,0,0,24,100.0
